Account Name,Building Name,Floor,Room Name,Room Code,Commissioned Date (Year),Planned Lifecycle (Years),Lifecycle Status,Total Initial Capital Cost,Total Future Cost
,MEK,3,MEK 3550,3550,2019,7,Planned,"$ 15,161","$ 18,646"
,MLIB,1,MLIB 1130 - F,1130 - F,2019,7,Planned,"$ 24,842","$ 30,553"
,,,MLIB 1150 - F,1150 - F,2019,7,Planned,"$ 14,713","$ 18,095"
,,,MLIB 1160-F,1160-F,2019,7,Planned,"$ 22,518","$ 27,695"
,,,MLIB 1715 - F,1715 - F,2019,7,Planned,"$ 13,870","$ 17,058"
,,,MLIB 1725-F,1725-F,2019,7,Planned,"$ 12,867","$ 15,825"
,,,MLIB 1735-F,1735-F,2019,7,Planned,"$ 16,083","$ 19,780"
,PAB,1,PAB 103,103,2019,7,Planned,$ 0,$ 0
,PTAB,1,PTAB 111,111,2019,7,Planned,$ 0,$ 0
,ST,1,ST E1105,E1105,2019,7,Planned,"$ 10,630","$ 13,074"
,,,ST E1133,E1133,2019,7,Planned,"$ 10,630","$ 13,074"
,,2,ST E2120,E2120,2019,7,Planned,"$ 10,630","$ 13,074"
,,,ST E2125,E2125,2019,7,Planned,"$ 10,630","$ 13,074"
,,,ST E2128,E2128,2019,7,Planned,"$ 10,630","$ 13,074"
,SW,1,SW 133,133,2019,7,Planned,$ 0,$ 0
,,,SW 134 Aud,134 Aud,2019,7,Planned,$ 0,$ 0
,,,SW 135,135,2019,7,Planned,$ 0,$ 0
,,,SW 136,136,2019,7,Planned,$ 0,$ 0
,,,SW 137,137,2019,7,Planned,"$ 10,756","$ 13,229"
,UNION,-,Union 323,323,2019,7,Planned,$ 0,$ 0
,,,Union Theatre,Theatre,2019,7,Planned,$ 0,$ 0
,WBB,2,WBB 207 - F,207 - F,2019,7,Planned,"$ 9,202","$ 11,317"
,,6,WBB 617 - F,617 - F,2019,7,Planned,"$ 8,797","$ 10,819"
,WEB,1,WEB 1230,1230,2019,7,Planned,$ 0,$ 0
,,,WEB 1248,1248,2019,7,Planned,$ 0,$ 0
,,,WEB 1250,1250,2019,7,Planned,$ 0,$ 0
,,,WEB 1450,1450,2019,7,Planned,$ 0,$ 0
,,,WEB 1460,1460,2019,7,Planned,$ 0,$ 0
,,,WEB L101,L101,2019,7,Planned,$ 0,$ 0
,,,WEB L102,L102,2019,7,Planned,$ 0,$ 0
,,,WEB L103,L103,2019,7,Planned,$ 0,$ 0
,,,WEB L104,L104,2019,7,Planned,$ 0,$ 0
,,,WEB L105,L105,2019,7,Planned,$ 0,$ 0
,,,WEB L110,L110,2019,7,Planned,$ 0,$ 0
,,,WEB L112,L112,2019,7,Planned,$ 0,$ 0
,,,WEB L114,L114,2019,7,Planned,$ 0,$ 0
,,,WEB L120,L120,2019,7,Planned,$ 0,$ 0
,,,WEB L122,L122,2019,7,Planned,$ 0,$ 0
,,,WEB L126,L126,2019,7,Planned,$ 0,$ 0
,,2,WEB 2230,2230,2019,7,Planned,$ 0,$ 0
,,,WEB 2250,2250,2019,7,Planned,$ 0,$ 0
,,,WEB 2460,2460,2019,7,Planned,$ 0,$ 0
,,,WEB 2470,2470,2019,7,Planned,$ 0,$ 0
Utah Department of Transportation - Traffic Operations Center,Traffic Operations Center,1,TOC,TOC,2023,10,Active,"$ 821,446","$ 1,103,954"
Weber State University,McKay Engineering,0,Classroom A/V,-,2023,7,Active,"$ 23,327","$ 28,690"
,,,Divisible Classroom 010 A/B,010A/B,2023,7,Active,"$ 23,655","$ 29,093"
,,,TV on Rolling Cart,004,2023,7,Active,"$ 4,843","$ 5,956"
,,,,005,2023,7,Active,"$ 4,843","$ 5,956"
