al.Manufacturer,al.Model Number,al.Product Type,al.IP Address,al.MAC Address,al.PO Number,acc.Account Name,Lifecycle Asset Type,lm.Building Name,lm.Room Name,lm.Room Code,Install Date,Replacement Year
Crestron,AM-3100,Wireless Presentation,10.88.39.139,C4.42.68.57.97.8C,,University of Utah,Classroom,BEHS,BEHS 104,104,"Jan 01, 2019",2026
Trendnet,,Networking,,,,University of Utah,Classroom,BEHS,BEHS 109,109,"Jan 01, 2019",2026
MXL,,Audio (Microphone),,,,University of Utah,Classroom,BUC,BUC 204 - F,204 - F,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BEHS,BEHS 114,114,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.40.85,00.10.7f.9a.35.4a,,University of Utah,Classroom,BUC,BUC 305 - F,305 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ51,Display,10.80.41.194,B8:20:8E:57:E9:3D,,University of Utah,Classroom,FASB,FASB 295 - F,295 - F,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI,Camera,,,,University of Utah,Classroom,GC,GC 2880,2880,"Jan 01, 2019",2026
Crestron,RMC4,Control Processor,10.72.32.145,c4.42.68.46.20.06,,University of Utah,Classroom,HPR N,HPR N 225 - F,225 - F,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 1120,1120,"Jan 01, 2019",2026
2 Ceiling Mounted,"8"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,MCD,MCD 230 - F,230 - F,"Jan 01, 2019",2026
Epson,EB-L630U,Display,10.80.35.159,dc.cd.2f.2e8c.0b,,University of Utah,Classroom,JWB,JWB 335 - F,335 - F,"Jan 01, 2019",2026
Shure,MX202W,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 2120,2120,"Jan 01, 2019",2026
2 mounted on the front wall,4 Mounted on ceiling of one type and 6 others of a different type.,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,JTB,JTB 130,130,"Jan 01, 2019",2026
Crestron,Crestron DM-NVX-D30C,"TX, RX, Scaler",,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.44.17,00.10.7f.c0.a6.ce,,University of Utah,Classroom,MCD,MCD 230 - F,230 - F,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,JWB,JWB 333-F,333-F,"Jan 01, 2019",2026
inacessable,,Control Processor,,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
3 hanging from ceiling,,Audio (Microphone),,,,University of Utah,Classroom,JTB,JTB 130,130,"Jan 01, 2019",2026
Rocware,ROCWARE RC821U,Camera,,,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Trendnet,TPE-TG50g/A,Networking,,,,University of Utah,Classroom,WBB,WBB 617 - F,617 - F,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,JWB,JWB 208 - F,208 - F,"Jan 01, 2019",2026
Sennheiser,sk 100 g4,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Magewell,USB Capture HDMI,Accessory,,,,University of Utah,Classroom,JTB,JTB 120,120,"Jan 01, 2019",2026
2,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 3100A,3100A,"Jan 01, 2019",2026
2- ceiling mounted,"6""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,WBB,WBB 207 - F,207 - F,"Jan 01, 2019",2026
JBL,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,MLIB,MLIB 1160-F,1160-F,"Jan 01, 2019",2026
Panasonic,PT-MZ882WU7 Panasonic,Display,,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.80.34.142,00.10.7f.a6.4d.a8,,University of Utah,Classroom,JTB,JTB 120,120,"Jan 01, 2019",2026
Pixie,,User Interface,,,,University of Utah,Classroom,HSEB,HSEB 3100A,3100A,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.80.41.140,00.10.7f.c3.56.77,,University of Utah,Classroom,WBB,WBB 207 - F,207 - F,"Jan 01, 2019",2026
